locus	vendored_reading	american_edition_reading
2Mach.10.30	Two of them took Machabeus between them, and covered him on every side with their arms, and kept him safe; but cast darts and fireballs against the enemy, so that they fell down, being both confounded with blindness, and filled with trouble.	Two of whom took Machabeus between them, and covered him on every side with their arms, and kept him safe: but cast darts and fireballs against the enemy, so that they fell down, being both confounded with blindness, and filled with trouble.
2Mach.11.12	And put all the rest to flight; and many of them being wounded, escaped naked: Yea, and Lysias himself fled away shamefully, and escaped.	And put all the rest to flight: many of them being wounded, escaped naked: yea and Lysias himself fled away shamefully, and escaped.
2Mach.11.35	Whatsoever Lysias, the king's cousin, hath granted to you, we also have granted.	Whatsoever Lysias the king's cousin hath granted you, we also have granted.
2Mach.12.37	Then beginning in his own language, and singing hymns with a loud voice, he put Gorgias's soldiers to flight.	Then beginning in his own language, and singing hymns with a loud voice, he put Gorgias' soldiers to flight.
2Mach.12.38	So Judas having gathered together his army, came into the city Odollam: and when the seventh day came, they purified themselves according to the custom, and kept the sabbath in the same place.	So Judas having gathered together his army, came into the city Odollam: and when the seventh day came, they purified themselves according to the custom, and kept the sabbath in the place.
2Mach.14.4	Came to king Demetrius in the year one hundred and fifty, presenting unto him a crown of gold, and a palm, and besides these, some boughs that seemed to belong to the temple. And that day indeed he held his peace.	Came to king Demetrius in the year one hundred and fifty, presenting unto him a crown of gold, and a palm, and besides these, some boughs which seemed to belong to the temple. And that day indeed he held his peace.
2Mach.14.8	Principally indeed out of fidelity to the king's interests, but in the next place also to provide for the good of my countrymen: for all our nation suffereth much from the evil proceedings of these men.	Principally indeed out of fidelity to the king's interests, but in the next place also to provide for the good of my countrymen: for all our nation suffereth much from the evil proceedings of those men.
2Mach.14.18	Nevertheless Nicanor hearing of the valour of Judas's companions, and the greatness of courage, with which they fought for their country, was afraid to try the matter by the sword.	Nevertheless Nicanor hearing of the valour of Judas' companions, and the greatness of courage with which they fought for their country, was afraid to try the matter by the sword.
2Mach.14.21	So they appointed a day upon which they might come together by themselves: and seats were brought out, and set for each one.	So they appointed a day upon which they might commune together by themselves: and seats were brought out, and set for each one.
2Mach.14.26	But Alcimus seeing the love they had one to another, and the covenants, came to Demetrius, and told him that Nicanor had assented to the foreign interest, for that he meant to make Judas, who was a traitor to the kingdom, his successor.	But Alcimus seeing the love they had one to another, and the covenants, came to Demetrius, and told him that Nicanor assented to the foreign interest, for that he meant to make Judas, who was a traitor to the kingdom, his successor.
2Mach.14.37	Now Razias, one of the ancients of Jerusalem, was accused to Nicanor, a man that was a lover of the city, and of good report, who for his kindness was called the father of the Jews.	Now Razias, one of the ancients of Jerusalem, was accused to Nicanor, a man that was a lover of the city, and of good report, who for his affection was called the father of the Jews.
2Mach.14.40	For he thought by ensnaring him to hurt the Jews very much.	For he thought by insnaring him to hurt the Jews very much.
